filename	subcategory	authors	title	keywords	topics
178.xml	Poster	Schubert, Charlotte; Meins, Friedrich; Bräckel, Oliver; Kahl, Hannes	eComparatio - Editionsvergleich	CTS; CITE; Comparison; Text	classical studies; corpora and corpus activities; historical studies; digital humanities - institutional support; metadata; multilingual / multicultural approaches; scholarly editing; software design and development; text analysis; knowledge representation; philology; internet / world wide web; interdisciplinary collaboration; linguistics; programming; digital humanities - pedagogy and curriculum; visualisation; copyright, licensing, and Open Access; history of Humanities Computing/Digital Humanities; digitisation - theory and practice; networks, relationships, graphs; linking and annotation; standards and interoperability; German
309.xml	Long Paper	Powell, Daniel James	Early English Books in Context: Towards a History of the Technological Humanities	EEBO; text; media archaeology; history	renaissance studies; history of Humanities Computing/Digital Humanities; digitisation - theory and practice; media studies; English
219.xml	Short Paper	van Vugt, Ingeborg	Exploring Networks Of Confidentiality And Secrecy In Early Modern Transconfessional Correspondences	Republic of Letters; Historical Network analysis; Circulation and Visualization of Knowledge	databases & dbms; historical studies; metadata; italian studies; cultural studies; networks, relationships, graphs; English
508.xml	Poster	Boyles, Christina; Mattock, Lindsay Kistler	Mobile Makerspaces: Te(a)chnology, Design and Digital Humanities	makerspace; DH pedagogy; digital literacy; design thinking; project management	teaching and pedagogy; project design, organization, management; interdisciplinary collaboration; digital humanities - pedagogy and curriculum; English
486.xml	Short Paper	Tufis, Mihnea	Adding Semantics To Comics Using A Crowdsourcing Approach	comics; annotation; crowdsourcing; data quality	audio, video, multimedia; encoding - theory and practice; information retrieval; data modeling and architecture including hypothesis-driven modeling; xml; crowdsourcing; English
398.xml	Long Paper	Wittern, Christian	Public and Private Views of Texts in Digital Editions – The Case of the Kanseki Repository 	digital archive; chinese studies; scholarly editing; digital publishing	digitisation, resource creation, and discovery; scholarly editing; asian studies; philology; bibliographic methods / textual studies; digitisation - theory and practice; English
149.xml	Poster	Clivaz, Claire; Sankar, Martial; Pache, Cecile	Editing in a text-image-sound form: the eTalks	multimodal literacies; digital edition	audio, video, multimedia; publishing and delivery systems; digitisation, resource creation, and discovery; copyright, licensing, and Open Access; English
278.xml	Short Paper	Yue, Ching-Syang Jack; Ho, Li-Hsing; Cheng, Wen-Huei	From Language Revolution to Revolutionary Language	Classical Chinese; New Youth Magazine; Species Diversity; Multivariate Analysis; Logistic Regression	data mining / text mining; English
199.xml	Poster	Koch, Carina	Creating A Management Plan For A Cultural Heritage Project - Best Practise	interdisciplinary; cross-institutional; webportal; guidelines; best practise	archives, repositories, sustainability and preservation; information retrieval; metadata; data modeling and architecture including hypothesis-driven modeling; digitisation, resource creation, and discovery; interdisciplinary collaboration; visualisation; standards and interoperability; English
692.xml	SIG endorsed pre-conference workshop	Kleppe, Martijn; Stef, Scagliola; Clara, Henderson; Johan, Oomen	Audiovisual Data And Digital Scholarship: Towards Multimodal Literacy	audiovisual collections; television; audio; oral history; photographs; visual literacy	art history; audio, video, multimedia; film and cinema studies; historical studies; information retrieval; teaching and pedagogy; music; GLAM: galleries, libraries, archives, museums; english studies; cultural studies; anthropology; folklore and oral history; media studies; English
354.xml	Long Paper	Algee-Hewitt, Mark Andrew; Porter, J.D.; Walser, Hannah	Representations Of Race: Mining Identity In American Fiction, 1789-1964	text-mining; Natural Language Processing; race and identity; character identification; American fiction	corpora and corpus activities; literary studies; semantic analysis; content analysis; genre-specific studies: prose, poetry, drama; english studies; cultural studies; data mining / text mining; English
64.xml	Long Paper	Thomas, Bögel; Gius, Evelyn; Jacke, Janina; Strötgen, Jannik	From Order to Order Switch. Mediating between Complexity and Reproducibility in the Context of Automated Literary Annotation	interdisciplinary collaboration; automated annotation; literary and linguistic concept modeling	literary studies; natural language processing; stylistics and stylometry; text analysis; interdisciplinary collaboration; linguistics; crowdsourcing; data mining / text mining; English
295.xml	Long Paper	Gordon, Tamar; Walters, Lori; Michlowitz, Rob	An Augmented Reality Mobile Application for Intergenerational Learning and Critical Connection Experiencing The Histories of Flushing Meadows Park	Augmented Reality; Mobile application; digital public history; intergenerational	historical studies; digital humanities - nature and significance; multilingual / multicultural approaches; virtual and augmented reality; knowledge representation; games and meaningful play; interdisciplinary collaboration; digital humanities - pedagogy and curriculum; anthropology; mobile applications and mobile design; English; digital humanities - diversity
346.xml	Long Paper	Constantopoulos, Panos; Hughes, Lorna M.; Dallas, Costis; Pertsas, Vayianos; Papachristopoulos, Leonidas; Christodoulou, Timoleon	Contextualized Integration of Digital Humanities Research: Using the NeMO Ontology of Digital Humanities Methods	Ontology; Taxonomy; Research Methods; Semantic Integration; Scholarly Practices	digital humanities - nature and significance; ontologies; knowledge representation; English; digital humanities - diversity
644.xml	Short Paper	CASENAVE, Joana; Marcoux, Yves	Éditions Critiques Électroniques Et Structuration Du Contenu Sur Les Plateformes De Consultation Numériques : Normes Et Pratiques.	édition critique électronique; philologie numérique; sémiotique des éditions	scholarly editing; philology; digitisation - theory and practice; French
656.xml	Long Paper	Dick, Thomas; Doyle, Sarah	Urban Youth and Community Media: A Digital Place-Making Process in Vanuatu	media production; youth; Vanuatu; kastom	audio, video, multimedia; interdisciplinary collaboration; cultural studies; English
545.xml	Poster	Robinson, Peter; Bordalejo, Barbara	Textual Communities	scholarly editing; collaboration; crowd-sourcing	historical studies; literary studies; medieval studies; digitisation, resource creation, and discovery; scholarly editing; crowdsourcing; English
512.xml	Poster	Tilton, Lauren; Arnold, Taylor; Leonard, Peter	Photogrammar	mapping; photographs; archives; visualization; visual culture	archives, repositories, sustainability and preservation; art history; geospatial analysis, interfaces and technology; metadata; digitisation, resource creation, and discovery; visualisation; maps and mapping; media studies; English
680.xml	Long Paper	Lamé, Marion	GLAMorous! Edizione Digitale Di Beni Culturali Con Contenuto Testuale, Multidisciplinarietà Ed Epigrafia Digitale. 	ricerca scientifica tramite strumenti digitali; Textual editing; document editing; epigrafia digitale; beni culturali; musei; storia; antichità classica	archaeology; GLAM: galleries, libraries, archives, museums; visualisation; Italian
394.xml	Poster	Stokes, Peter Anthony; Brookes, Stewart J.; Noël, Geoffroy; Davies, John Reuben; Webber, Tessa; Broun, Dauvit; Taylor, Alice; Tucker, Joanna	The Models of Authority Project: Extending the DigiPal Framework for Script and Decoration	digital palaeography; digital diplomatics	encoding - theory and practice; historical studies; medieval studies; digitisation, resource creation, and discovery; linking and annotation; English
254.xml	Poster	Hashimoto, Yuta; Iikura, Yoichi; Hisada, Yukio; Kang, SungKook; Arisawa, Tomoyo; Okajima, Akihiro; Yada, Tsutomu; Goyama, Rintaro; K-B, Daniel	The Kuzushiji Project: Developing a Mobile Learning Application for Reading Early Modern Japanese Books	Japanese studies; kuzushiji; mobile learning; open data	literary studies; software design and development; social media; mobile applications and mobile design; cultural infrastructure; English
198.xml	Poster	Jürgens, Marco; Grabsch, Sascha	Digital Resources and Research Data in the Digital Humanities: The Digital Knowledge Store at the Berlin-Brandenburg Academy of Sciences and Humanities 	Knowledge Browsing; Semantic Relations; Full Text Indexing; Digital Knowledge Store; Academy of Sciences	archives, repositories, sustainability and preservation; information retrieval; interface and user experience design; metadata; natural language processing; semantic analysis; text analysis; knowledge representation; internet / world wide web; content analysis; visualisation; semantic web; data mining / text mining; English
376.xml	Long Paper	Viglianti, Raffaele	Music notation addressability 	text and music; music notation; web; citation; API	information retrieval; music; software design and development; information architecture; internet / world wide web; interdisciplinary collaboration; digitisation - theory and practice; semantic web; linking and annotation; standards and interoperability; English
78.xml	Long Paper	Armaselu, Florentina; Rosselli Del Turco, Roberto; Jones, Catherine; Wieneke, Lars; Alzetta, Chiara; Di Pietro, Chiara	Prototypes as Thinking through Making. Decision Points and Evaluation in Prototyping a Visualisation Framework for Historical Documents	prototype analysis; prototype evaluation; XML-TEI visualisation tools; digital scholarly editions	encoding - theory and practice; historical studies; digital humanities - nature and significance; interface and user experience design; scholarly editing; user studies / user needs; xml; visualisation; English
270.xml	Short Paper	Jovanović, Neven; Simrell, Alexander	Implementing Canonical Text Services in the Croatiae Auctores Latini Digital Collection 	linked data; citation scheme; Greek literature; automatic validation	classical studies; multilingual / multicultural approaches; scholarly editing; philology; xml; translation studies; renaissance studies; linking and annotation; standards and interoperability; English
448.xml	Panel / Multiple Paper Session	Sarv, Mari; Laineste, Liisi; Franzini, Greta; Franzini, Emily; Kallio, Kati; Järv, Risto	Digital Folkloristics: the Use of Computational Methods in Revealing the Characteristics of Folkloric Communication	folklore; text corpora; text analysis; computational methods; social media	corpora and corpus activities; multilingual / multicultural approaches; stylistics and stylometry; text analysis; cultural studies; social media; folklore and oral history; networks, relationships, graphs; English
82.xml	Long Paper	Ciotti, Fabio; Silvio, Peroni; Francesca, Tomasi; Fabio, Vitali	An OWL 2 Formal Ontology for the Text Encoding Initiative	TEI; formal ontology; markup semantics; XML	encoding - theory and practice; ontologies; knowledge representation; xml; semantic web; English
215.xml	Long Paper	Ciula, Arianna	Digital Palaeography: What is digital about it?	digital palaeograohy; intermedia studies; modelling	digital humanities - nature and significance; data modeling and architecture including hypothesis-driven modeling; knowledge representation; bibliographic methods / textual studies; cultural studies; visualisation; history of Humanities Computing/Digital Humanities; digitisation - theory and practice; media studies; English
97.xml	Short Paper	Froemming, Urte Undine	Indigenous digital humanities. Participatory geo-referenced-mapping and visualization for digital data management platforms in digital anthropology	Indigenous Digital Humanities; participative GIS mapping; digital research data management	archives, repositories, sustainability and preservation; audio, video, multimedia; teaching and pedagogy; knowledge representation; digital humanities - pedagogy and curriculum; cultural studies; digitisation - theory and practice; anthropology; folklore and oral history; English; digital humanities - diversity; digital humanities - multilinguality
559.xml	Short Paper	Grallert, Till	The journal _al-Muqtabas_ between _Shamela.ws_, HathiTrust, and GitHub: producing open, collaborative, and fully-referencable digital editions of early Arabic periodicals---with almost no funds.	Arabic periodicals; Digital edition; XML; Crowdsourced; Open Access	archives, repositories, sustainability and preservation; encoding - theory and practice; historical studies; near eastern studies; xml; authorship attribution / authority; crowdsourcing; copyright, licensing, and Open Access; linking and annotation; English
639.xml	Long Paper	Lamé, Marion; Nouvel, Blandine	Du Texte Antique À La Publication Scientifique : Outils D’Analyse Numériques Des Contenus Et Ponts Conceptuels. 	humanities research enabled through digital media; information design and modeling; multilingual and multicultural aspects of digital humanities; philological and historical studies; creation and curation of humanities digital resources	archaeology; archives, repositories, sustainability and preservation; classical studies; corpora and corpus activities; concording and indexing; content analysis; French; digital humanities - multilinguality
331.xml	Poster	Locke, Brandon	Digital Humanities Pedagogy as Digital Liberal Arts: A Framework for Curriculum Development	pedagogy; curriculum; information literacy; lab; Digital Liberal Arts	historical studies; teaching and pedagogy; digital humanities - pedagogy and curriculum; anthropology; English
520.xml	Panel / Multiple Paper Session	Donaldson, Christopher; Sangster, Matthew; Taylor, Joanna	Digitally Mapping Romantic Literature and Culture	Mapping; Romanticism; GIS; Geospatial Analysis; Literary Studies; Mobility Studies; History	corpora and corpus activities; databases & dbms; geospatial analysis, interfaces and technology; historical studies; literary studies; metadata; natural language processing; digitisation, resource creation, and discovery; semantic analysis; text analysis; interdisciplinary collaboration; english studies; cultural studies; visualisation; digitisation - theory and practice; maps and mapping; linking and annotation; data mining / text mining; English
491.xml	Short Paper	Fredheim, Rolf; Moore, Alfred	Anonymity and Online Discussion: A New Framework for Analysis	Commenting; anonymity; online identites; connected identities; durable identities	internet / world wide web; English
335.xml	Poster	Kamińska, Anna	Visual Forms of Information Presentation and Their Place in Formal Digital Scientific Communication	visual forms of information presentation; formal scientific communication; digital scientific communication	databases & dbms; audio, video, multimedia; publishing and delivery systems; other; visualisation; Polish
63.xml	Short Paper	Huijnen, Pim; Lonij, Juliette	From Keyword Search To Discourse Mining - The Meaning Of Scientific Management In Dutch Vocabulary, 1900-1940	search strategies; historical scholarship; topic modeling; discourse; newspapers	corpora and corpus activities; historical studies; project design, organization, management; text analysis; data mining / text mining; English
357.xml	Short Paper	Ruiz Fabo, Pablo; Plancq, Clément; Poibeau, Thierry	Climate Negotiation Analysis	semantic role labeling; relation extraction; climate negotiations; Earth Negotiations Bulletin	information retrieval; natural language processing; semantic analysis; text analysis; content analysis; linking and annotation; data mining / text mining; English
617.xml	Poster	Marszałek, Jagoda	The Latin of Matthew of Cracow (c. 1345 – 1410) – a corpus based study of his language and style 	computational stylometry; TXM; Matthew of Cracow; Scholastic Latin	classical studies; corpora and corpus activities; lexicography; medieval studies; natural language processing; philosophy; stylistics and stylometry; text analysis; philology; authorship attribution / authority; linguistics; morphology; renaissance studies; English
129.xml	Poster	Du, Keli	Testing Delta on Chinese Texts	Delta; authorship attribution; DRC	literary studies; stylistics and stylometry; asian studies; authorship attribution / authority; English
16.xml	Long Paper	Smithies, James Dakin	Full Stack DH: Building a Virtual Research Environment on a Raspberry PI	Raspberry Pi; minimal computing; virtual research environment; thing theory; materialism	digital humanities - institutional support; publishing and delivery systems; digitisation, resource creation, and discovery; software design and development; information architecture; cultural infrastructure; English; digital humanities - diversity
139.xml	Poster	Durity, Anthony; Vulcu, Gabriela; Bordea, Georgeta; O'Sullivan, James; Jones, Jasenka Eva	The Categories of Philosophy in the Digital Era 	philosophy; topic modeling; categories; corpus; taxonomy	corpora and corpus activities; natural language processing; ontologies; philosophy; semantic analysis; text analysis; programming; query languages; semantic web; networks, relationships, graphs; English
415.xml	Long Paper	Salvatori, Enrica	Digicraft and 'Systemic' Thinking in Digital Humanities	Digital Humanities; Systemic Thinking	digital humanities - nature and significance; digital humanities - pedagogy and curriculum; history of Humanities Computing/Digital Humanities; English; digital humanities - diversity
618.xml	Long Paper	Czmiel, Alexander	Sustainable publishing - Standardization possibilities for Digital Scholarly Edition technology	publishing model; standards; XML packaging system; digital scholarly edition; project description	interface and user experience design; metadata; project design, organization, management; publishing and delivery systems; software design and development; information architecture; programming; standards and interoperability; English
259.xml	Short Paper	Pedroja, Cynthia; L'Hôte, Anne; Chapoy, Elise; Levain, Elisabeth	Dépasser La Liste : Quand La Bibliothèque Entre Dans La Danse Des Corpus Web	bibliothèque; corpus web outillé; crawler; expérimentation; graphe	corpora and corpus activities; interface and user experience design; visualisation; French
526.xml	Long Paper	Dumont, Stefan	correspSearch - A Web Service to Connect Diverse Scholarly Editions of Letters	interchange; correspondence; scholarly edition; TEI; authority files	metadata; scholarly editing; linking and annotation; standards and interoperability; English
315.xml	Short Paper	hogervorst, susan	Live/Life Stories. The Uses Of Digital War Testimonies In Educational Contexts	oral history; user studies; education; Second World War; cultural memory	archives, repositories, sustainability and preservation; audio, video, multimedia; historical studies; interface and user experience design; teaching and pedagogy; scholarly editing; user studies / user needs; content analysis; digital humanities - pedagogy and curriculum; cultural studies; media studies; English
401.xml	Long Paper	Bonch-Osmolovskaya, Anastasia	Two Centuries of Russian Roads – Diachronic Study of Polysemy in the Context of Cultural Change	culturomics; polysemy; Russian National Corpus; roads	corpora and corpus activities; semantic analysis; content analysis; linguistics; cultural studies; English
77.xml	Long Paper	Juola, Patrick; Mikros, George	Authorship Attribution Using Different Languages	stylometry; cross-linguistic; cognitive linguistics; authorship attribution	natural language processing; authorship attribution / authority; content analysis; data mining / text mining; English
356.xml	Short Paper	Padilla, Thomas George; Higgins, Devin	Data Praxis in the Digital Humanities: Use, Production, Access	data; research data; publication; libraries; repositories	archives, repositories, sustainability and preservation; corpora and corpus activities; digital humanities - nature and significance; digital humanities - institutional support; publishing and delivery systems; digitisation, resource creation, and discovery; digital humanities - pedagogy and curriculum; copyright, licensing, and Open Access; history of Humanities Computing/Digital Humanities; English
622.xml	Panel / Multiple Paper Session	Rockwell, Geoffrey; Mandell, Laura; Sinclair, Stéfan; Wilkens, Matthew; Capitanu, Boris; Downie, Stephen	The Trace of Theory: Extracting Subsets from Large Collections	Very Large Collections; Machine Learning; HathiTrust	software design and development; text analysis; data mining / text mining; English
189.xml	Poster	Hug, Marius; Thomas, Christian	The »Hidden Kosmos« of scientific instruments in Alexander von Humboldt's »Vorlesungen über physikalische Geographie« – or: What on earth is an »Ariometer«? 	collaborative research; digital scholarly edition; history of sciences and humanities; DH-tools; TEI-XML	corpora and corpus activities; encoding - theory and practice; historical studies; natural language processing; digitisation, resource creation, and discovery; scholarly editing; semantic analysis; text analysis; knowledge representation; xml; internet / world wide web; concording and indexing; bibliographic methods / textual studies; interdisciplinary collaboration; cultural studies; visualisation; linking and annotation; standards and interoperability; English
298.xml	Poster	Fitzmaurice, Susan; Alexander, Marc; Pidd, Michael; Robinson, Justyna; Dallachy, Fraser; Hine, Iona; Mehl, Seth; Aitken, Brian; Groves, Matthew; Rogers, Katherine	Linguistic DNA: Modelling Concepts and Semantic Change in English, 1500-1800	corpus linguistics; semantic analysis; early modern literature; conceptual history; visualisation	corpora and corpus activities; historical studies; semantic analysis; text analysis; linguistics; visualisation; English
48.xml	Short Paper	Schindler, Christoph; Ell, Basil	Linking Qualitative and Quantitative Research by Thin Descriptions through Semantic Graphs. Experiments in Apparatus Design with Semantic CorA.	qualitative methods; research environment; semantic graph; apparatus design	corpora and corpus activities; metadata; information architecture; content analysis; digitisation - theory and practice; semantic web; networks, relationships, graphs; linking and annotation; English; digital humanities - diversity
607.xml	Short Paper	Tupman, Charlotte; Holding, Richard; Petrie, Hannah; Stringer, Gary	Mapping Multilingual Responses To Famine And Dearth In The Early Modern Landscapes Of India And Britain	mapping; encoding; famine; landscape; multilingual	encoding - theory and practice; text analysis; xml; maps and mapping; English
164.xml	Short Paper	Bockwinkel, Peggy	Does Character Speech Matter? A Quantitative Approach	narratology; computational stylistics; deictics; quantative analysis; character speech	corpora and corpus activities; literary studies; speech processing; stylistics and stylometry; text analysis; philology; linguistics; german studies; data mining / text mining; English
386.xml	Short Paper	Nurmikko-Fuller, Terhi; Jett, Jacob; Cole, Timothy; Maden, Chris; Page, Kevin R.; Downie, J. Stephen	A Comparative Analysis of Bibliographic Ontologies: Implications for Digital Humanities	ontologies; semantic web; linked data; metadata; digital libraries	metadata; ontologies; internet / world wide web; GLAM: galleries, libraries, archives, museums; semantic web; English
332.xml	Poster	Grossner, Karl; Ligda, Kenneth	Authorial {X}: A Research and Teaching Platform for Literary Geography	literary geography; space and place	corpora and corpus activities; geospatial analysis, interfaces and technology; teaching and pedagogy; literary studies; natural language processing; maps and mapping; English
443.xml	Long Paper	Rettberg, Scott; Coover, Roderick	Addressing Torture in Iraq through Critical Digital Media Art—Hearts and Minds: The Interrogations Project	torture; critical digital media; virtual reality; Iraq; interdisciplinary; media art	audio, video, multimedia; film and cinema studies; historical studies; virtual and augmented reality; hypertext; visualisation; media studies; English
590.xml	Short Paper	Chen, Shih-Pei; Hong, Zoe; Schäfer, Dagmar; Siebert, Martina; Urzúa, Jorge	Compiling a Database on Historical China from Local Records: The Local Gazetteers Project at MPIWG	tagging; visualization; geospatial analysis; data collection	archives, repositories, sustainability and preservation; databases & dbms; geospatial analysis, interfaces and technology; historical studies; interface and user experience design; data modeling and architecture including hypothesis-driven modeling; digitisation, resource creation, and discovery; knowledge representation; asian studies; information architecture; content analysis; digital humanities - facilities; visualisation; maps and mapping; spatio-temporal modeling, analysis and visualisation; English
445.xml	Short Paper	Pernes, Stefan	Metaphor Mining in Historical German Novels: Using Unsupervised Learning to Uncover Conceptual Systems in Literature.	computational metaphor identification; conceptual metaphor; diachronic analysis; literary history	corpora and corpus activities; literary studies; natural language processing; philosophy; semantic analysis; linguistics; german studies; anthropology; data mining / text mining; English
449.xml	Short Paper	Henny, Ulrike; Sepúlveda, Pedro	Tracing the Genesis of Pessoa's Envisioned Work: a Digital Edition of his Editorial Projects and Publications 	digital edition; TEI; Fernando Pessoa; editorial projects; literary work	encoding - theory and practice; literary studies; scholarly editing; xml; bibliographic methods / textual studies; linking and annotation; English
165.xml	Short Paper	Colavizza, Giovanni; Ehrmann, Maud; Rochat, Yannick	A Method for Record Linkage with Sparse Historical Data	record linkage; entity disambiguation; historical data; social networks	archives, repositories, sustainability and preservation; natural language processing; digitisation, resource creation, and discovery; content analysis; networks, relationships, graphs; linking and annotation; data mining / text mining; English
421.xml	Panel / Multiple Paper Session	Brown, Susan; Price, Kenneth; Siemens, Raymond George; Gabler, Hans-Walter; Idmhand, Fatiha; Lebarbé, Thomas; Pierazzo, Elena	The Scholarly Digital Edition: Best Practices, Guidelines, and Peer Evaluation	Digital Editing; Peer Review; Best Practices	scholarly editing; bibliographic methods / textual studies; English
518.xml	Short Paper	Ozludil Altin, Burcak; Wendell, Augustus	Digging the Aboveground: Visual Archeology of an Asylum	visualization; simulation; architectural history; 3D; temporal analysis	art history; audio, video, multimedia; geospatial analysis, interfaces and technology; historical studies; interface and user experience design; visualisation; spatio-temporal modeling, analysis and visualisation; English
328.xml	Short Paper	Bailey, Christopher Scott; Rochester, Eric	Testing the Doctrine of Election: A Computational Approach to Karl Barth’s Church Dogmatics	topic modeling; tf-idf; theology; election; Barth	text analysis; theology; English
147.xml	Short Paper	Yamada, Taizo; Inoue, Satoshi	A Management of Personal Name with Alternate Name and its Searching for Japanese Historical Study	Japanese history; historical material; personal name; alternate name; search	historical studies; medieval studies; semantic analysis; text analysis; data mining / text mining; English
293.xml	Long Paper	Windhouwer, Menzo; Goosen, Twan; Misutka, Jozef; Van Uytvanck, Dieter; Broeder, Daan	Flexible Community-driven Metadata with the Component Metadata Infrastructure	metadata; infrastructure; community driven. flexibility	archives, repositories, sustainability and preservation; metadata; publishing and delivery systems; information architecture; digital humanities - facilities; English
452.xml	Poster	Sugiyama, Mao	Diachronic changes of the Russian Presidential Addresses to the Federal Assembly: From the perspective of archetype key words 	the Russian Presidential Addresses to the Federal Assembly; political archetype key words; quantitive analysis	text analysis; English
181.xml	Short Paper	Jocham, Tobias; Marx, Michael; Pohl, Oliver; Schnöpf, Markus	Exploring The History Of The Qur’an Digitally	Qur'an; digital edition; arabic writing system	archaeology; classical studies; corpora and corpus activities; databases & dbms; multilingual / multicultural approaches; text analysis; near eastern studies; philology; concording and indexing; content analysis; hypertext; programming; data mining / text mining; English
124.xml	Poster	de la Rosa Pérez, Javier	The Attribution of the Lazarillo de Tormes. Shedding Some Light into a Centuries Old Problem 	spanish golden age; picaresque novel; lazarillo; authorship attribution	natural language processing; digitisation, resource creation, and discovery; stylistics and stylometry; text analysis; spanish and spanish american studies; authorship attribution / authority; digitisation - theory and practice; English
67.xml	Short Paper	Hellrich, Johannes; Hahn, Udo	Measuring the Dynamics of Lexico-Semantic Change Since the German Romantic Period	language change; German; romantic period; artificial neural network; word2vec	natural language processing; semantic analysis; linguistics; german studies; data mining / text mining; English
100.xml	Short Paper	Kornienko, Sergei; Gagarina, Dinara	The First World War in Perm Provincial Periodicals	Newspapers; periodicals; information system; The First World War; Russian history	databases & dbms; historical studies; digitisation, resource creation, and discovery; internet / world wide web; digitisation - theory and practice; English
19.xml	Long Paper	Tausendfreund, Doris	"The Online Archive ""Forced Labor 1939-1945. Memory and History"". A digital Application for Research and Education"	online archive; learning environment; Oral History; documentation and indexing; annotation	historical studies; teaching and pedagogy; scholarly editing; concording and indexing; content analysis; digital humanities - facilities; digital humanities - pedagogy and curriculum; maps and mapping; linking and annotation; English; digital humanities - multilinguality
300.xml	Short Paper	Martínez Bermejo, Saúl	"""El Atambor de Plata Suena como Cascaveles de Turquesa"". Reconstrucción de la Experiencia Sonora de la Colonización Europea (c. 1480-1650) a Través de un Glosario y un Tesauro Digital"	Soundscape; glossary; thesaurus; European colonization; Early Modern history	audio, video, multimedia; historical studies; information retrieval; metadata; music; ontologies; text analysis; information architecture; xml; spanish and spanish american studies; content analysis; bibliographic methods / textual studies; linguistics; renaissance studies; visualisation; semantic web; standards and interoperability; Spanish
506.xml	Poster	van Elburg, Wouter; Wijckmans, Tessa	Project COLEM for CREATE (University of Amsterdam) Adapting NPL-Tools for Creating an Orthographic Layer for Early Modern Dutch Texts	spelling standardisation; VARD2; spelling normalisation	information retrieval; literary studies; content analysis; bibliographic methods / textual studies; linguistics; machine translation; translation studies; linking and annotation; English
338.xml	Poster	Buntinx, Vincent; Bornet, Cyril; Kaplan, Frédéric	Studying Linguistic Changes on 200 Years of Newspapers	linguistic changes; corpus studies; archives of newspapers; textual distance	corpora and corpus activities; lexicography; text analysis; linguistics; English
102.xml	Poster	Di Pietro, Chiara; Alzetta, Chiara; Tiezzi, Ilaria; Masotti, Raffaele; Rosselli Del Turco, Roberto	EVT 2.0: a new architecture for critical editions in digital form	xml tei; web visualization; client side; digital edition; web edition	encoding - theory and practice; interface and user experience design; publishing and delivery systems; scholarly editing; software design and development; philology; xml; visualisation; English
327.xml	Long Paper	Lincoln, Matthew	If Paintings were Plants: Measuring Genre Diversity in Seventeenth-Century Dutch Painting and Printmaking	painting; printmaking; genre; keyword analysis	art history; data modeling and architecture including hypothesis-driven modeling; GLAM: galleries, libraries, archives, museums; data mining / text mining; English
236.xml	Short Paper	Naaijer, Martijn; Roorda, Dirk	Linguistic Variation In The Hebrew Bible: Digging Deeper Than The Word Level	syntax; linguistic variation; Biblical Hebrew; data mining.	corpora and corpus activities; historical studies; linguistics; visualisation; data mining / text mining; English
641.xml	Poster	Boettcher, Mark Edward; Wallace, John	Detecting Musical Paratext at Scale 	textual analysis; data mining; lexical analysis; optical character recognition; software development	information retrieval; lexicography; music; software design and development; text analysis; content analysis; programming; data mining / text mining; English
538.xml	Long Paper	Van Zundert, Joris J.; Andrews, Tara L.	Qu’est-ce qu’un texte numérique? A New Rationale for the Digital Representation of Text	Nature of Text; Digital Text; Multidimensional Text; Text-as-Graph; Discrete vs Continuous Text	encoding - theory and practice; data modeling and architecture including hypothesis-driven modeling; scholarly editing; text analysis; knowledge representation; xml; networks, relationships, graphs; English
41.xml	Long Paper	Terras, Melissa; Baker, James; Hetherington, James; Beavan, David; Welsh, Anne; O'Neill, Helen; Finley, Will; Duke-Williams, Oliver; Farquhar, Adam	Enabling Complex Analysis of Large-Scale Digital Collections: Humanities Research, High Performance Computing, and transforming access to British Library Digital Collections 	research; analysis; HPC; data; GLAM	corpora and corpus activities; text analysis; information architecture; content analysis; GLAM: galleries, libraries, archives, museums; programming; data mining / text mining; English
114.xml	Poster	Sostaric, Petra; Jovcic, Sinisa	The Latin Batrachomyomachia Collection	Latin translations from Ancient Greek; translation studies; classics; machine searchable text collection; digital teaching materials	archives, repositories, sustainability and preservation; classical studies; corpora and corpus activities; digitisation, resource creation, and discovery; scholarly editing; philology; interdisciplinary collaboration; digital humanities - pedagogy and curriculum; translation studies; renaissance studies; English
614.xml	Poster	Damerow, Julia Luise; Peirson, Erick Bruce; Laubichler, Manfred	Bridging the Gap: the Digital Innovation Group	digital humanities; education; software engineering; history and philosophy of science; software development	teaching and pedagogy; software design and development; interdisciplinary collaboration; digital humanities - pedagogy and curriculum; English
475.xml	Short Paper	Turska, Magdalena; Cummings, James	A lesson in applied minimalism: adopting the TEI processing model 	processing model; xml; tei; publishing	encoding - theory and practice; data modeling and architecture including hypothesis-driven modeling; publishing and delivery systems; xml; English
28.xml	Long Paper	Hoover, David L.	Textual Variation, Text-Randomization, and Microanalysis	character dialogue; computational stylistics; text-analysis	literary studies; stylistics and stylometry; text analysis; english studies; English
400.xml	Short Paper	Fornaro, Peter R.; Rosenthaler, Lukas	File Formats for Archiving: Stability and Persistence Issues	File Format; Archiving; Sustainability	audio, video, multimedia; standards and interoperability; English
574.xml	Poster	Kuzmenko, Elizaveta; Orekhov, Boris	Geography Of Russian Poetry: Countries And Cities Inside The Poetic World 	named entities recognition; toponyms; Russian poetry; distant reading	corpora and corpus activities; geospatial analysis, interfaces and technology; information retrieval; data modeling and architecture including hypothesis-driven modeling; natural language processing; digitisation, resource creation, and discovery; text analysis; content analysis; bibliographic methods / textual studies; interdisciplinary collaboration; linguistics; programming; history of Humanities Computing/Digital Humanities; anthropology; maps and mapping; networks, relationships, graphs; linking and annotation; data mining / text mining; English
