	authors	category	filename	keywords	subcategory	title	topics
77	Milstein, Dana	Paper	MILSTEIN_Dana_Kapital__An_Interactive_Fiction_Game.xml	serious game; Marxism; Python; interactive fiction	Short Paper	Kapital: An Interactive Fiction Game	audio; video; multimedia; virtual and augmented reality; knowledge representation; games and meaningful play; interdisciplinary collaboration; programming; digital humanities - pedagogy and curriculum; creative and performing arts; including writing; cultural studies; german studies; English
78	di Lenardo, Isabella; Kaplan, Frédéric	Paper	DI_LENARDO_Isabella_Venice_Time_Machine__Recreating_the.xml	Venice; Historical GIS; Archive; Big data	Long Paper	Venice Time Machine: Recreating the density of the past	archives; repositories; sustainability and preservation; art history; databases & dbms; renaissance studies; digitisation - theory and practice; English
79	Slimane, Fouad; Mazzei, Andrea; Tomasin, Lorenzo; Kaplan, Frédéric	Paper	MAZZEI_Andrea_Text_Line_Detection_and_Transcription_Ali.xml	text line; transcription; aligment; HMM	Long Paper	Text Line Detection and Transcription Alignment: a Case Study on the Statuti del Doge Tiepolo	image processing; English
80	Weidman, Sean G.; O'Sullivan, James	Paper	WEIDMAN_Sean_Gregory_Gender_Markers__Distinctive_Words_.xml	gender; literary studies; text analysis; authorship	Long Paper	Gender Markers: Distinctive Words in Male and Female Authorship	gender studies; literary studies; text analysis; English
81	Higgins, Devin Cook; Padilla, Thomas George; Hintze, Arend	Paper	HIGGINS_Devin_Cook_Patterns_of_Novelty_in_Literary_Data.xml	Information Theory; Novelty; Literary Studies	Poster	Patterns of Novelty in Literary Data	literary studies; text analysis; interdisciplinary collaboration; visualisation; data mining / text mining; English
82	Smithies, James; Millar, Paul; Thomson, Chris	Paper	SMITHIES_James_Dakin_Building_Post_disaster_Social_Capi.xml	archive; repository; infrastructure; preservation; open access	Long Paper	Building Post-disaster Social Capital: A Current State Report on the UC CEISMIC Digital Archive	archives; repositories; sustainability and preservation; copyright; licensing; and Open Access; cultural infrastructure; English
83	Champion, Erik Malcolm	Paper	CHAMPION_Erik_Malcolm_Seeing_Is_Revealing__A_Critical_D.xml	Visualization	Long Paper	Seeing Is Revealing: A Critical Discussion on Visualisation And The Digital Humanities	digital humanities - nature and significance; visualisation; history of Humanities Computing/Digital Humanities; English
84	Flanders, Julia; Piez, Wendell; Walsh, John; Terras, Melissa	Paper	FLANDERS_Julia_Challenges_of_an_XML_based_Open_Access_J.xml	open access; digital publishing; XML; TEI	Long Paper	Challenges of an XML-based Open-Access Journal: Digital Humanities Quarterly	project design; organization; management; publishing and delivery systems; xml; copyright; licensing; and Open Access; standards and interoperability; English
85	Cohen, Hart; Short, Harold; Cohen, Gerald	Paper	COHEN_Hart___a_writer_essential_to_the_others______furt.xml	Shakespeare; Eirenarcha; Common Law; Lambarde; Annotations	Panel / Multiple Paper Session	“…a writer essential to the others…” ∗: further reflections towards a methodology and case study of a potential exemplar of Shakespeare’s hand in annotations to an edition of the Eirenarcha (c1605?)	archives; repositories; sustainability and preservation; databases & dbms; digitisation; resource creation; and discovery; stylistics and stylometry; text analysis; authorship attribution / authority; content analysis; renaissance studies; English
86	Jones, Steven Edward	Paper	JONES_Steven_Edward_Punched_Card_Humanities__Roberto_Bu.xml	history of humanities computing; platform studies	Long Paper	Punched-Card Humanities: Roberto Busa and IBM in Historical Context	digital humanities - nature and significance; information retrieval; natural language processing; concording and indexing; cultural studies; history of Humanities Computing/Digital Humanities; English
87	Hung, Jen-Jou	Paper	HUNG_Jen_Jou_Digital_Corpus_and_Toolset_for_Performing_.xml	Translatorship attribution; Text Analysis; Chinese Buddhist Translations; N-gram Corpus; Visualization Tool	Short Paper	Digital Corpus and Toolset for Performing Text Analysis on Chinese Translation of Buddhist Scriptures	digitisation; resource creation; and discovery; text analysis; asian studies; authorship attribution / authority; linguistics; data mining / text mining; English
88	Ho, Hou Ieong	Paper	HO_Hou_Ieong_MARKUS_a_Fundamental_Semi_automatic_Markup.xml	Classical Chinese; tagging; markup	Short Paper	MARKUS：a Fundamental Semi-automatic Markup Platform for Classical Chinese	interface and user experience design; software design and development; asian studies; digital humanities - facilities; English
89	Clivaz, Claire	Paper	CLIVAZ_Claire_Beyond_Boundaries__Digital_Humanities__Li.xml	Life Sciences; epistemology; research infrastructure; knowledge	Long Paper	Beyond Boundaries: Digital Humanities, Life Sciences and IT research	digital humanities - nature and significance; digital humanities - institutional support; knowledge representation; interdisciplinary collaboration; digitisation - theory and practice; cultural infrastructure; English
90	Janz, Bruce	Paper	JANZ_Bruce_Conceptualizing_DH_for_Multiple_Audiences__F.xml	multiple audiences; hermeneutics; folk art	Long Paper	Conceptualizing DH for Multiple Audiences: Folkvine and Chinavine	philosophy; project design; organization; management; user studies / user needs; asian studies; creative and performing arts; including writing; digitisation - theory and practice; folklore and oral history; English
91	Mazur, Liudmila; Gorbachev, Oleg	Paper	GORBACHEV_Oleg_Vitalyevich_Historical_And_Demographic_D.xml	historical demography; databases; census data; Urals in 18-20 c	Short Paper	Historical And Demographic Database: Russian Experience And Prospects	databases & dbms; historical studies; digitisation; resource creation; and discovery; English
92	Hashimoto, Yuta; Araki, Yasuyuki	Paper	HASHIMOTO_Yuta_KinDigi_Social__A_Mobile_centered_Social.xml	social annotation; digital collections; online collaboration; open annotation	Short Paper	KinDigi Social: A Mobile-centered Social Annotation Platform for the Kindai Digital Library	historical studies; interface and user experience design; software design and development; programming; social media; crowdsourcing; semantic web; linking and annotation; English
93	O'Sullivan, James Christopher	Paper	O_SULLIVAN_James_Christopher_Electronic_Literature_and_.xml	Electronic Literature; E-lit	Long Paper	Electronic Literature and the Politics of Process	literary studies; media studies; English
94	Blakeslee, Sam; Dekhtyar, Alex; Khosmood, Foaad; Kurfess, Franz; Kuboi, Toshihiro; Poshcman, Hans; Prinzivalli, Giovanni; Roberston, Christine; Durst, Skylar	Paper	DEKHTYAR_Alex_Digital_Democracy_Project__Making_Governm.xml	e-government; digital democracy	Long Paper	Digital Democracy Project: Making Government More Transparent one Video at a Time	databases & dbms; audio; video; multimedia; publishing and delivery systems; digitisation; resource creation; and discovery; software design and development; speech processing; information architecture; interdisciplinary collaboration; English
95	Heiden, Serge	Paper	HEIDEN_Serge_Introduction_To_The_TXM_Content_Analysis_S.xml	text analysis; txm software; xml; tei; nlp	Pre-Conference Workshop and Tutorial (Round 2)	Introduction To The TXM Content Analysis Software	corpora and corpus activities; encoding - theory and practice; natural language processing; text analysis; xml; concording and indexing; content analysis; visualisation; data mining / text mining; English
96	Hoover, David L.	Paper	HOOVER_David_L__The_Trials_of_Tokenization.xml	Python; tokenization; word frequency lists; programming; punctuation	Long Paper	The Trials of Tokenization	natural language processing; software design and development; text analysis; programming; standards and interoperability; English
97	Johnson-Roberson, Chris A	Paper	JOHNSON_ROBERSON_Chris_A_Susurrant__A_Tool_for_Algorith.xml	networks; sonification; visualization; machine learning; topic modeling	Short Paper	Susurrant: A Tool for Algorithmic Listening in Networked Soundscapes	audio; video; multimedia; information retrieval; music; natural language processing; software design and development; internet / world wide web; content analysis; visualisation; social media; networks; relationships; graphs; data mining / text mining; English
98	Darányi, Sándor; Malec, Scott; Cohen, Trevor; Widdows, Dominic	Paper	DAR_NYI_S_ndor_Toward_Predication_Based_Semantic_Trawli.xml	folklore; semantic markup; biomedical research; predication space; analogical information retrieval	Long Paper	Toward Predication-Based Semantic Trawling for Folk Narrative Studies	corpora and corpus activities; encoding - theory and practice; information retrieval; metadata; ontologies; digitisation; resource creation; and discovery; semantic analysis; software design and development; text analysis; knowledge representation; internet / world wide web; content analysis; morphology; folklore and oral history; semantic web; linking and annotation; data mining / text mining; English
99	Yamamoto, Takeo	Paper	YAMAMOTO_Takeo_Music_Score_Representation_of_Poetry_Rea.xml	poetical prosody; analysis of recorded voice; music score generation	Long Paper	Music Score Representation of Poetry Reading: Can Prosody Be Studied by Analyzing the Author’s Voice?	audio; video; multimedia; literary studies; prosodic studies; english studies; English
100	Wilkens, Matthew	Paper	WILKENS_Matthew_Mapping_and_Modeling_Centuries_of_Liter.xml	GIS; literature; modeling; georeference	Long Paper	Mapping and Modeling Centuries of Literary Geography across Millions of Books	geospatial analysis; interfaces and technology; literary studies; data modeling and architecture including hypothesis-driven modeling; maps and mapping; data mining / text mining; English
101	Watrall, Ethan	Paper	WATRALL_Ethan_Mbira__A_Platform_to_Build__Serve__and_Su.xml	mobile; heritage; archaeology; digital heritage	Short Paper	Mbira: A Platform to Build, Serve, and Sustain Mobile Heritage Experiences	archaeology; historical studies; anthropology; mobile applications and mobile design; cultural infrastructure; maps and mapping; English
102	Beshero-Bondar, Elisa	Paper	BESHERO_BONDAR_Elisa_Visualizing_the_Digital_Mitford_Pr.xml	TEI; digital archive; prosopography; network analysis; textual scholarship	Long Paper	Visualizing the Digital Mitford Project’s Prosopography Data	corpora and corpus activities; encoding - theory and practice; literary studies; metadata; project design; organization; management; digitisation; resource creation; and discovery; scholarly editing; text analysis; xml; bibliographic methods / textual studies; visualisation; maps and mapping; networks; relationships; graphs; spatio-temporal modeling; analysis and visualisation; English
103	Cummings, James; Rahtz, Sebastian; Pytlik Zillig, Brian; Mueller, Martin; Turska, Magdalena	Paper	CUMMINGS_James_C__TEI_Simple__Power__economy__and_a_pro.xml	TEI; Text Encoding; XML; Data Modelling; Processing Models	Long Paper	TEI Simple: Power, economy, and a processing model for encoders and developers	encoding - theory and practice; xml; standards and interoperability; English
104	Anderson, Deborah; Morey, Stephen	Paper	ANDERSON_Deborah_Negotiating_The_Issues_Of_Encoding_And.xml	Unicode; character encoding; South and Southeast Asia	Long Paper	Negotiating The Issues Of Encoding And Producing Traditional Scripts On Computers – Working With Unicode	encoding - theory and practice; standards and interoperability; English
105	Carletti, Laura; Munoz, Angeles; Blum, Jesse; Goulding, James; Shipp, Victoria; Robinson, Joanna	Paper	CARLETTI_Laura_Exploring_Community_Engagement_in_the_De.xml	Community; Archive; Theatre; Participatory Design; Engagement	Long Paper	Exploring Community Engagement in the Design of an Online Archive	archives; repositories; sustainability and preservation; databases & dbms; interface and user experience design; metadata; software design and development; information architecture; GLAM: galleries; libraries; archives; museums; crowdsourcing; English
106	Stratford, Edward; Browne, Jeremy	Paper	BROWNE_Jeremy_LinkedIn_circa_2000_BCE__Towards_a_Networ.xml	Assyrian; Network Analysis; Social Network	Short Paper	LinkedIn circa 2000 BCE: Towards a Network Model of Pušu-ken’s Commercial Relationships in Old Assyria	archaeology; corpora and corpus activities; historical studies; near eastern studies; networks; relationships; graphs; English
107	Ensom, Tom; Hedges, Mark; Laurenson, Pip	Paper	ENSOM_Tom_Technical_Narratives__Novel_Approaches_to_the.xml	software-based art; digital preservation; art conservation; technical description; digital forensics	Short Paper	Technical Narratives: Novel Approaches to the Analysis and Technical Description of Software-Based Art	archives; repositories; sustainability and preservation; art history; data modeling and architecture including hypothesis-driven modeling; GLAM: galleries; libraries; archives; museums; English
108	Burr, Elisabeth; Potapenko, Elena; Kovacs, Pascal; Concepción Durán, Arámis	Paper	BURR_Elisabeth_An_Environment_for_putting_Digital_Human.xml	Pedagogy; Digital Humanities; working environment; learning-by-project; ontology; modeling	Long Paper	An Environment for putting Digital Humanities Pedagogy in Place	teaching and pedagogy; digitisation; resource creation; and discovery; knowledge representation; digital humanities - pedagogy and curriculum; linking and annotation; English
109	Turner-Jensen, Nola Joyce	Paper	TURNER_JENSEN_Nola_Joyce_The_cusp_of_change___A_cultura.xml	Ancient Australia; Indigenous; e-Learning; Aboriginal	Pre-Conference Workshop and Tutorial (Round 2)	The cusp of change - A culturally safe e-Learning platform on Ancient Australia	teaching and pedagogy; digitisation; resource creation; and discovery; digital humanities - pedagogy and curriculum; cultural studies; English
110	Kaufman, Micki	Paper	KAUFMAN_Micki___Everything_on_Paper_Will_Be_Used_Agains.xml	diplomatic history; sentiment analysis; topic modeling; visualization; network analysis	Long Paper	"'""Everything on Paper Will Be Used Against Me"": Quantifying Kissinger'"	archives; repositories; sustainability and preservation; corpora and corpus activities; databases & dbms; historical studies; digital humanities - nature and significance; metadata; project design; organization; management; digitisation; resource creation; and discovery; semantic analysis; software design and development; text analysis; content analysis; interdisciplinary collaboration; linguistics; visualisation; spatio-temporal modeling; analysis and visualisation; data mining / text mining; English; rhetorical studies
111	Poibeau, Thierry; Terras, Melissa; Ruiz, Pablo; Gray, Steven; Roe, Glenn	Paper	POIBEAU_Thierry_Visualizing_Data_for_Digital_humanities.xml	Text mining; Visualization	Pre-Conference Workshop and Tutorial (Round 2)	Visualizing Data for Digital humanities Producing Semantic Maps with Information extracted from Corpora and other Media	data modeling and architecture including hypothesis-driven modeling; multilingual / multicultural approaches; natural language processing; ontologies; digitisation; resource creation; and discovery; scholarly editing; semantic analysis; text analysis; linguistics; visualisation; social media; semantic web; linking and annotation; data mining / text mining; English
112	Kawase, Akihiro	Paper	KAWASE_Akihiro_The_Characteristics_of_Personae_Observed.xml	Kyogen scripts; traditional comic drama; numerical analysis; discourse studies; corpus studies	Poster	The Characteristics of Personae Observed Within Toraakirabon Kyogen Scripts: Extracting Conceptual Words Using Quantitative Analysis	classical studies; film and cinema studies; text analysis; data mining / text mining; English
113	Wittern, Christian	Paper	WITTERN_Christian_Multiple_Views_and_Modes_of_Engagemen.xml	Digital repository; collaboration; user interaction; research infrastructure	Long Paper	Multiple Views and Modes of Engagement with a Repository of Digital Texts	digitisation; resource creation; and discovery; user studies / user needs; asian studies; philology; English
114	Wevers, Melvin; Kenter, Tom; Huijnen, Pim	Paper	WEVERS_Melvin_Concepts_Through_Time__Tracing_Concepts_I.xml	word embeddings; semantic spaces; digital cultural history; Americanization; Discourse analysis	Long Paper	Concepts Through Time: Tracing Concepts In Dutch Newspapers Discourse (1890-1990) Using Word Embeddings	corpora and corpus activities; philosophy; semantic analysis; text analysis; content analysis; cultural studies; semantic web; data mining / text mining; English
115	Hunter, Jane; Odat, Suleiman; Drennan, John	Paper	HUNTER_Jane_A_Collaborative_Interdisciplinary_Knowledge.xml	art conservation; knowledge base; decision support; federated search	Long Paper	A Collaborative Interdisciplinary Knowledge-Base for the Art Conservation Community	archives; repositories; sustainability and preservation; art history; databases & dbms; knowledge representation; GLAM: galleries; libraries; archives; museums; data mining / text mining; English
116	Albanesi, Davide; Bellandi, Andrea; Benotto, Giulia; Giovannetti, Emiliano	Paper	BENOTTO_Giulia_Translation__Annotation_and_Knowledge_Mo.xml	computer assisted translation; Babylonian Talmud; semantic annotation; translation memory	Poster	Translation, Annotation and Knowledge Modelling of the Babylonian Talmud: the Traduco System	literary studies; natural language processing; publishing and delivery systems; knowledge representation; digital humanities - facilities; linguistics; translation studies; linking and annotation; English
117	Schofield, Tom William; Kirk, David; Whitelaw, Mitchell	Paper	SCHOFIELD_Tom_William_Research_Through_Design_and_Digit.xml	Design; Methodology; Practice-Based; Artefacts	Long Paper	Research Through Design and Digital Humanities in Practice: What, How and Who in an Archive Research Project.	archives; repositories; sustainability and preservation; digital humanities - nature and significance; interface and user experience design; user studies / user needs; GLAM: galleries; libraries; archives; museums; visualisation; English
118	Alex, Beatrice; Grover, Claire; Zhou, Ke; Hinrichs, Uta	Paper	ALEX_Beatrice_Palimpsest__Improving_Assisted_Curation_o.xml	assisted curation; document retrieval; annotation; user feedback; geo-parsing	Long Paper	Palimpsest: Improving Assisted Curation of Loco-specific Literature	geospatial analysis; interfaces and technology; information retrieval; literary studies; natural language processing; text analysis; visualisation; data mining / text mining; English
119	Van Hulle, Dirk; Neyt, Vincent	Paper	VAN_HULLE_Dirk_Genetic_Criticism_and_Digital_Editing.xml	automatic collation; modern manuscripts; digital scholarly editing; genetic criticism; Samuel Beckett	Long Paper	Genetic Criticism and Digital Editing	scholarly editing; English
120	Heiden, Serge	Paper	HEIDEN_Serge_From_KWIC_Concordance_to_Video_excerpt_or_.xml	tei; txm; transcription; video; synoptic edition	Poster	From KWIC Concordance to Video excerpt or Folio facsimile: Demonstration of Multimodal and Multimedia corpora in TXM	interface and user experience design; software design and development; text analysis; concording and indexing; English
121	Ho, Li-hsing; Yue, Ching-Syang Jack; Cheng, Wen-huei	Paper	HO_Li_hsing_Identifying_Classical_and_Written_Vernacula.xml	Stylistic Analysis; May 4th Movement; New Youth magazine; Function Words Analysis; Species Diversity	Short Paper	Identifying Classical and Written Vernacular Chinese Language: A Statistical Study based on Texts from New Youth Magazine (1915-1922)	natural language processing; asian studies; English
122	Beshero-Bondar, Elisa	Paper	BESHERO_BONDAR_Elisa_World_View_from_Poetic_Structure__.xml	network analysis; epic; paratext; place network; TEI and structural markup	Long Paper	World-View from Poetic Structure: An “Anti-Social” Network Analysis of Robert Southey’s and Eramus Darwin’s Epic Poems	encoding - theory and practice; geospatial analysis; interfaces and technology; information retrieval; literary studies; scholarly editing; text analysis; virtual and augmented reality; knowledge representation; xml; genre-specific studies: prose; poetry; drama; english studies; visualisation; maps and mapping; networks; relationships; graphs; spatio-temporal modeling; analysis and visualisation; linking and annotation; English
123	Howard, Vivian	Paper	HOWARD_Vivian_Sea_Stacks__Contemporary_Atlantic_Canadia.xml	regional literature; children's literature; pedagogy and curriculum support; content analysis	Poster	Sea Stacks: Contemporary Atlantic Canadian Books for Children and Youth	audio; video; multimedia; interface and user experience design; digitisation; resource creation; and discovery; user studies / user needs; content analysis; bibliographic methods / textual studies; interdisciplinary collaboration; digital humanities - pedagogy and curriculum; english studies; cultural studies; English
124	Sula, Chris Alen; Rabina, Debbie	Paper	SULA_Chris_Alen_Visual_First_Amendment__A_Case_Study_in.xml	visualization; statistics; law; networks; usability	Long Paper	Visual First Amendment: A Case Study in Empricial Legal Studies, Visualization, and User Experience	project design; organization; management; user studies / user needs; law; visualisation; data mining / text mining; English
125	Warren, Robert; Ridge, Mia; Rose, Kathryn; Charles, Valentine	Paper	WARREN_Robert_Linked_Open_Data_and_the_First_World_War.xml	Linked Open Data; Great War; Semantic Web; GLAM; interoperability	Panel / Multiple Paper Session	Linked Open Data and the First World War	archives; repositories; sustainability and preservation; databases & dbms; ontologies; GLAM: galleries; libraries; archives; museums; cultural infrastructure; semantic web; data mining / text mining; English
126	Escobar Varela, Miguel	Paper	ESCOBAR_VARELA_Miguel_Non_hegemonic_Interoperability__T.xml	Semantic Web; Interoperability; Interculturalism; Performance Studies; Global perspectives	Long Paper	Non-hegemonic Interoperability: Towards a Global Conversation in Digital Performance Research	multilingual / multicultural approaches; knowledge representation; semantic web; English
127	Miller, Ben; Shrestha, Ayush; Olive, Jennifer; Gopavaram, Shakthidhar	Paper	MILLER_Ben_Automated_Comparison_of_Narrative_and_Charac.xml	computational narrative; natural language processing; graph theory; text mining	Long Paper	Automated Comparison of Narrative and Character Function Similarity Using Graph Theory	information retrieval; literary studies; natural language processing; stylistics and stylometry; text analysis; linguistics; data mining / text mining; English
128	John, Markus; Koch, Steffen; Heimerl, Florian; Müller, Andreas; Ertl, Thomas; Kuhn, Jonas	Paper	JOHN_Markus_Interactive_Visual_Analysis_Of_German_Poeti.xml	visual analytics; document analysis; literary analysis; distant reading	Long Paper	Interactive Visual Analysis Of German Poetics	text analysis; digital humanities - facilities; german studies; visualisation; English
129	Brillenburg Wurth, Catharina Anna; Poletti, Anna; Van Maas, Sander Adriaan	Paper	BRILLENBURG_WURTH_Catharina_Anna__LIBB__Changing_Litera.xml	boundless book analog digital changing literacies	Pre-Conference Workshop and Tutorial (Round 2)	@LIBB: Changing Literacies for the Boundless Book	digital humanities - nature and significance; literary studies; hypertext; creative and performing arts; including writing; genre-specific studies: prose; poetry; drama; English
130	Bermúdez Sabel, Helena	Paper	BERM_DEZ_SABEL_Helena_Using_Feature_Structures_for_the_.xml	digital edition; historical linguistics; diachronic variation; portuguese medieval poetry; collatio	Poster	Using Feature Structures for the study of medieval manuscripts	encoding - theory and practice; literary studies; medieval studies; scholarly editing; text analysis; philology; xml; linguistics; English
131	Lincoln, Matthew	Paper	LINCOLN_Matthew_Modelling_the__Inter_National_Printmaki.xml	R; dynamic network analysis; engraving; digital art history	Long Paper	Modelling the (Inter)National Printmaking Networks of Early Modern Europe	art history; data modeling and architecture including hypothesis-driven modeling; GLAM: galleries; libraries; archives; museums; networks; relationships; graphs; English
132	Hayward, Nicholas John	Paper	HAYWARD_Nicholas_John_From_lighthouse_to_the_moon__a_gu.xml	virginia woolf; jules verne; framework; textual studies; corpus	Long Paper	From lighthouse to the moon: a guiding light to the corpus of Jules Verne	corpora and corpus activities; image processing; information retrieval; interface and user experience design; literary studies; publishing and delivery systems; digitisation; resource creation; and discovery; scholarly editing; software design and development; text analysis; french studies; information architecture; content analysis; bibliographic methods / textual studies; programming; translation studies; data mining / text mining; English
133	Finney, Tim; Clivaz, Claire; Schmidt, Desmond; Carlson, Stephen	Paper	FINNEY_Tim_Digital_New_Testament.xml	New Testament; phylogeneticanalysis; critical editions; collation algorithms; simulation	Pre-Conference Workshop and Tutorial (Round 2)	Digital New Testament	digitisation; resource creation; and discovery; scholarly editing; philology; theology; programming; visualisation; networks; relationships; graphs; agent modeling and simulation; data mining / text mining; English
134	Jones, Michael Alastair; Tropea, Rachel	Paper	JONES_Michael_Alastair_Scaling_Up_Digital_Public_Histor.xml	digital history; archives; public humanities	Long Paper	Scaling Up Digital Public History: Lessons Learned From The Find & Connect Web Resource Project	archives; repositories; sustainability and preservation; historical studies; metadata; project design; organization; management; user studies / user needs; knowledge representation; information architecture; cultural infrastructure; English
135	Pang, Wai-Him; Hsiang, Jieh; Tu, Hsieh-Chang; Chen, Lihua	Paper	HSIANG_Jieh_A_System_for_the_Textual_Inheritance_Relati.xml	textual inheritance; Chinese historiography; classics; Zizhi Tongjian	Poster	"A System for the Textual Inheritance Relation of Chinese Historical Classics ""Comprehensive Mirror"", ""Grand Tortoise"" and ""Standard Histories"""	corpora and corpus activities; databases & dbms; historical studies; asian studies; English
136	Baker, James William; Terras, Melissa; Dean, Mohamedally; Tim, Weyrich; Stefan, Alborzpour; Stelios, Georgiou; Nektaria, Stavrou; Wendy, Wong	Paper	BAKER_James_William_The_British_Library_Big_Data_Experi.xml	experiment; teaching; collaboration; computer science; infrastructure	Poster	The British Library Big Data Experiment: Experimental Interfaces, Experimental Teaching	interface and user experience design; teaching and pedagogy; information architecture; GLAM: galleries; libraries; archives; museums; interdisciplinary collaboration; programming; cultural infrastructure; English
137	Mason, Ingrid	Paper	MASON_Ingrid_Cleaning_and_Exploring_Your_Data_With_Open.xml	Data processing; Data normalisation; APIs; Open Refine	Pre-Conference Workshop and Tutorial (Round 2)	Cleaning and Exploring Your Data With Open Refine	databases & dbms; English
138	Tedeschi, Michael	Paper	TEDESCHI_Michael_Omeka__The_Basics___Beyond.xml	omeka; digital humanities; web; technology; exhibits	Pre-Conference Workshop and Tutorial (Round 1)	Omeka: The Basics & Beyond	databases & dbms; audio; video; multimedia; interface and user experience design; software design and development; user studies / user needs; information architecture; internet / world wide web; GLAM: galleries; libraries; archives; museums; mobile applications and mobile design; English
139	Duridanov, Ludmil; Curry, Joanne; Ivanov, Stanislav; Simoff, Simeon; Zareva, Desislava	Paper	DURIDANOV_Ludmil_Digital_Humanities_educational_vehicle.xml	Interdisciplinary collaboration; Participatory learning; Virtual environment; Ancient history; Intercultural skills	Long Paper	Digital Humanities educational vehicle - new patterns of research and learning approach in the Digital Age of Access	archaeology; classical studies; interface and user experience design; teaching and pedagogy; multilingual / multicultural approaches; software design and development; virtual and augmented reality; digital humanities - facilities; interdisciplinary collaboration; programming; digital humanities - pedagogy and curriculum; cultural studies; visualisation; anthropology; agent modeling and simulation; English
140	Sinclair, Stéfan; Rockwell, Geoffrey	Paper	SINCLAIR_St_fan_Voyant_Tools_2_0__The_New__The_Neat___t.xml	text analysis; Voyant	Pre-Conference Workshop and Tutorial (Round 2)	Voyant Tools 2.0: The New, The Neat & the Gnarly	text analysis; data mining / text mining; English
141	Suwana, Fiona	Paper	SUWANA_Fiona_Digital_Media_Literacy_in_Indonesian_Youth.xml	digital media literacy; democray; digital democracy; youth civic engagement; Indonesian youth	Short Paper	Digital Media Literacy in Indonesian Youth: Building Sustainable Democratic Institutions and Practices	digital humanities - nature and significance; asian studies; media studies; English
142	Seuret, Mathias; Eichenberger, Nicole; Liwicki, Marcus; Ingold, Rolf	Paper	SEURET_Mathias_Gradient_domain_Noise_for_Realistic_Degr.xml	historical document image processing; degradation; noising	Long Paper	Gradient-domain Noise for Realistic Degradations in Historical Documents Images	image processing; digitisation; resource creation; and discovery; interdisciplinary collaboration; programming; English
143	Schöch, Christof	Paper	SCH_CH_Christof_Topic_Modeling_French_Crime_Fiction.xml	topic modeling; French literature; crime fiction; genre; authors	Long Paper	Topic Modeling French Crime Fiction	literary studies; text analysis; french studies; content analysis; data mining / text mining; English
144	Courtney, Angela; Courtney, Michael	Paper	COURTNEY_Angela_Following_the_Stars__Under_the_Stars___.xml	GIS; mapping; film; cinema; Australia	Poster	Following the Stars (Under the Stars): Mapping The Film Circuits of Inter-War Outdoor Picture Gardens in Western Australia	film and cinema studies; maps and mapping; English
145	Martinez-Ortiz, Carlos; Buschenhenke, Floor; van Dalen-Oskam, Karina; Koolen, Marijn	Paper	KOOLEN_Marijn_Predicting_the_International_Appeal_of_no.xml	literary studies; globalization; named entity linking; measuring interest	Short Paper	Predicting the International Appeal of novels	literary studies; text analysis; translation studies; linking and annotation; data mining / text mining; English
146	Cooney, Charles M.; Gladstone, Clovis; Shandruk, Walter; Morrissey, Robert; Roe, Glenn	Paper	COONEY_Charles_M__PhiloLogic4_And_The_Android_PhiloRead.xml	PhiloLogic4; API; Android; text databases; search and retrieval interface	Short Paper	PhiloLogic4 And The Android PhiloReader Apps: Toward Building A Full-Featured PhiloLogic API	databases & dbms; interface and user experience design; project design; organization; management; publishing and delivery systems; software design and development; text analysis; programming; mobile applications and mobile design; English
147	Doyle, Richard; O'Sullivan, James	Paper	O_SULLIVAN_James_Christopher_Zebrapedia__Collective_Exp.xml	Philip K. Dick; The Exegesis; Transcription	Poster	Zebrapedia: Collective Explication of Philip K. Dick’s Exegesis	literary studies; crowdsourcing; English
148	Jakacki, Diane Katherine; Faull, Katherine Mary	Paper	JAKACKI_Diane_Katherine_Pedagogical_Hermeneutics_and_Te.xml	digital humanities pedagogy; hermeneutics; undergraduate liberal arts; peer learning; archival studies	Long Paper	Pedagogical Hermeneutics and Teaching DH in a Liberal Arts Context	archives; repositories; sustainability and preservation; teaching and pedagogy; project design; organization; management; text analysis; content analysis; digital humanities - pedagogy and curriculum; maps and mapping; networks; relationships; graphs; English
149	Paraskevoudi, Nadia; Alexandropoulos, Timos	Paper	PARASKEVOUDI_Nadia__Sonic_Materialization_of_Linguistic.xml	sonification; social media; twitter; prosodic features; stress	Poster	"""Sonic Materialization of Linguistic Data"" (working title)"	corpora and corpus activities; audio; video; multimedia; prosodic studies; software design and development; text analysis; interdisciplinary collaboration; linguistics; programming; creative and performing arts; including writing; social media; data mining / text mining; English
150	Berghold, Jared; Hammond, Jeremy; Cassidy, Steve; Estival, Dominique; Burnham, Denis; Sefton, Peter	Paper	BERGHOLD_Jared_Alveo__Software_Engineering_with_Humanit.xml	human communication sciences; linguistics; agile; virtual laboratory; software development	Long Paper	Alveo: Software Engineering with Humanities Researchers	archives; repositories; sustainability and preservation; software design and development; interdisciplinary collaboration; English
151	Dabbs, Thomas Winn	Paper	DABBS_Thomas_Winn__Nothing_That_Is_Not_There_and_The_No.xml	Shakespeare; Paul's Cross Churchyard; Virtual Paul's Cross Project	Long Paper	‘Nothing That Is Not There and The Nothing That Is’: Tracking the Digital Echoes between Churchyard and Theatre in Shakespeare’s London	english studies; English
